Epoch: [2 | 50] LR: 0.001000
epoch = 1, loss = 0.977882981300354, top5_accuracy = 90.625, top1_accuracy = 71.875
epoch = 174, loss = 0.8243278345499916, top5_accuracy = 94.61206896551724, top1_accuracy = 80.38793103448276
epoch = 175, loss = 0.8238263646193913, top5_accuracy = 94.64285714285714, top1_accuracy = 80.44642857142857
epoch = 176, loss = 0.8221445403654467, top5_accuracy = 94.67329545454545, top1_accuracy = 80.48650568181819
epoch = 177, loss = 0.8196412008360955, top5_accuracy = 94.70338983050847, top1_accuracy = 80.54378531073446
epoch = 178, loss = 0.8203372091389773, top5_accuracy = 94.69803370786516, top1_accuracy = 80.51264044943821
epoch = 179, loss = 0.8191417462332955, top5_accuracy = 94.6927374301676, top1_accuracy = 80.56913407821229
epoch = 180, loss = 0.8184030960003535, top5_accuracy = 94.70486111111111, top1_accuracy = 80.55555555555556
epoch = 181, loss = 0.818237344533699, top5_accuracy = 94.69958563535911, top1_accuracy = 80.61118784530387
epoch = 182, loss = 0.8199593965168838, top5_accuracy = 94.66002747252747, top1_accuracy = 80.54601648351648
epoch = 183, loss = 0.8215023946892368, top5_accuracy = 94.6379781420765, top1_accuracy = 80.48155737704919
epoch = 184, loss = 0.8202845849420713, top5_accuracy = 94.66711956521739, top1_accuracy = 80.48573369565217
epoch = 185, loss = 0.8200548574731157, top5_accuracy = 94.66216216216216, top1_accuracy = 80.50675675675676
epoch = 186, loss = 0.820285415136686, top5_accuracy = 94.64045698924731, top1_accuracy = 80.51075268817205
epoch = 187, loss = 0.8186972373947102, top5_accuracy = 94.66911764705883, top1_accuracy = 80.56483957219251
epoch = 188, loss = 0.8189952696891541, top5_accuracy = 94.66422872340425, top1_accuracy = 80.55186170212765
epoch = 189, loss = 0.8194564779599508, top5_accuracy = 94.65939153439153, top1_accuracy = 80.55555555555556
epoch = 190, loss = 0.8196997683299215, top5_accuracy = 94.65460526315789, top1_accuracy = 80.54276315789474
epoch = 191, loss = 0.8196506153850656, top5_accuracy = 94.66623036649214, top1_accuracy = 80.56282722513089
epoch = 192, loss = 0.8196399932106336, top5_accuracy = 94.66145833333333, top1_accuracy = 80.56640625
epoch = 193, loss = 0.8190334087208763, top5_accuracy = 94.65673575129534, top1_accuracy = 80.58613989637306
epoch = 194, loss = 0.8196381161507872, top5_accuracy = 94.66817010309278, top1_accuracy = 80.60567010309278
epoch = 195, loss = 0.8187112453656319, top5_accuracy = 94.66346153846153, top1_accuracy = 80.64102564102564
epoch = 196, loss = 0.8176296429366482, top5_accuracy = 94.69068877551021, top1_accuracy = 80.66007653061224
epoch = 197, loss = 0.8163997043812941, top5_accuracy = 94.71763959390863, top1_accuracy = 80.7265228426396
epoch = 198, loss = 0.8169636539738587, top5_accuracy = 94.72853535353535, top1_accuracy = 80.71338383838383
epoch = 199, loss = 0.8175602654116837, top5_accuracy = 94.72361809045226, top1_accuracy = 80.70037688442211
epoch = 200, loss = 0.8165359634160996, top5_accuracy = 94.734375, top1_accuracy = 80.734375
epoch = 201, loss = 0.8156648794216896, top5_accuracy = 94.76057213930348, top1_accuracy = 80.75248756218906
epoch = 202, loss = 0.8147232402669321, top5_accuracy = 94.7865099009901, top1_accuracy = 80.77042079207921
epoch = 203, loss = 0.815039146122674, top5_accuracy = 94.7814039408867, top1_accuracy = 80.74199507389163
epoch = 204, loss = 0.8154550402187833, top5_accuracy = 94.76102941176471, top1_accuracy = 80.74448529411765
epoch = 205, loss = 0.8159524365169246, top5_accuracy = 94.78658536585365, top1_accuracy = 80.73170731707317
epoch = 206, loss = 0.816950063682297, top5_accuracy = 94.76638349514563, top1_accuracy = 80.67354368932038
epoch = 207, loss = 0.8158648630271211, top5_accuracy = 94.76147342995169, top1_accuracy = 80.66123188405797
epoch = 208, loss = 0.815644770860672, top5_accuracy = 94.75661057692308, top1_accuracy = 80.6640625
epoch = 209, loss = 0.818140066981886, top5_accuracy = 94.7218899521531, top1_accuracy = 80.59210526315789
epoch = 210, loss = 0.8196517200697035, top5_accuracy = 94.6875, top1_accuracy = 80.5952380952381
epoch = 211, loss = 0.8205072371315617, top5_accuracy = 94.68305687203791, top1_accuracy = 80.5835308056872
epoch = 212, loss = 0.8202703761042289, top5_accuracy = 94.69339622641509, top1_accuracy = 80.58667452830188
epoch = 213, loss = 0.8216148052417057, top5_accuracy = 94.68896713615024, top1_accuracy = 80.57511737089202
epoch = 214, loss = 0.8212362252106177, top5_accuracy = 94.68457943925233, top1_accuracy = 80.54906542056075
epoch = 215, loss = 0.8217545456664507, top5_accuracy = 94.65116279069767, top1_accuracy = 80.56686046511628
epoch = 216, loss = 0.822932217684057, top5_accuracy = 94.61805555555556, top1_accuracy = 80.52662037037037
epoch = 217, loss = 0.8227007743400363, top5_accuracy = 94.62845622119816, top1_accuracy = 80.5155529953917
epoch = 218, loss = 0.8225716795396367, top5_accuracy = 94.61009174311927, top1_accuracy = 80.53325688073394
epoch = 219, loss = 0.8226206498603298, top5_accuracy = 94.62043378995433, top1_accuracy = 80.5079908675799
epoch = 220, loss = 0.8235675811767578, top5_accuracy = 94.60227272727273, top1_accuracy = 80.4971590909091
epoch = 221, loss = 0.8217356264321513, top5_accuracy = 94.61255656108597, top1_accuracy = 80.55712669683258
epoch = 222, loss = 0.823614473278458, top5_accuracy = 94.60867117117117, top1_accuracy = 80.51801801801801
epoch = 223, loss = 0.8244186805502716, top5_accuracy = 94.57679372197309, top1_accuracy = 80.5072869955157
epoch = 224, loss = 0.8243781213781664, top5_accuracy = 94.55915178571429, top1_accuracy = 80.52455357142857
epoch = 225, loss = 0.8243273279401991, top5_accuracy = 94.56944444444444, top1_accuracy = 80.5
epoch = 226, loss = 0.8247903482576388, top5_accuracy = 94.5658185840708, top1_accuracy = 80.47566371681415
epoch = 227, loss = 0.8263826178559123, top5_accuracy = 94.54845814977973, top1_accuracy = 80.45154185022027
epoch = 228, loss = 0.8252019670448805, top5_accuracy = 94.55866228070175, top1_accuracy = 80.48245614035088
epoch = 229, loss = 0.8249252248539154, top5_accuracy = 94.56877729257641, top1_accuracy = 80.48580786026201
epoch = 230, loss = 0.8254032637761987, top5_accuracy = 94.56521739130434, top1_accuracy = 80.48913043478261
epoch = 231, loss = 0.8269849107379005, top5_accuracy = 94.50757575757575, top1_accuracy = 80.45183982683983
epoch = 232, loss = 0.8271316194842602, top5_accuracy = 94.50431034482759, top1_accuracy = 80.46875
epoch = 233, loss = 0.8289471626793367, top5_accuracy = 94.48766094420601, top1_accuracy = 80.39163090128756
epoch = 234, loss = 0.8285190002021626, top5_accuracy = 94.49786324786325, top1_accuracy = 80.38194444444444
epoch = 235, loss = 0.8288773313481756, top5_accuracy = 94.4813829787234, top1_accuracy = 80.34574468085107
epoch = 236, loss = 0.8285071774054382, top5_accuracy = 94.49152542372882, top1_accuracy = 80.32309322033899
epoch = 237, loss = 0.8279749217918654, top5_accuracy = 94.50158227848101, top1_accuracy = 80.34018987341773
epoch = 238, loss = 0.827601191125998, top5_accuracy = 94.51155462184875, top1_accuracy = 80.33088235294117
epoch = 239, loss = 0.8281585042945511, top5_accuracy = 94.4952928870293, top1_accuracy = 80.3347280334728
epoch = 240, loss = 0.8287400081753731, top5_accuracy = 94.4921875, top1_accuracy = 80.32552083333333
epoch = 241, loss = 0.8294095001280061, top5_accuracy = 94.47614107883817, top1_accuracy = 80.30342323651452
epoch = 242, loss = 0.8286905586719513, top5_accuracy = 94.48605371900827, top1_accuracy = 80.2944214876033
epoch = 243, loss = 0.828316815350772, top5_accuracy = 94.48302469135803, top1_accuracy = 80.29835390946502
epoch = 244, loss = 0.8300193570187835, top5_accuracy = 94.42879098360656, top1_accuracy = 80.27663934426229
epoch = 245, loss = 0.8288707820736632, top5_accuracy = 94.4515306122449, top1_accuracy = 80.3061224489796
epoch = 246, loss = 0.8296094236335134, top5_accuracy = 94.47408536585365, top1_accuracy = 80.29725609756098
epoch = 247, loss = 0.8308316980778929, top5_accuracy = 94.48380566801619, top1_accuracy = 80.27580971659918
epoch = 248, loss = 0.8307278922969296, top5_accuracy = 94.48084677419355, top1_accuracy = 80.27973790322581
epoch = 249, loss = 0.8299328174935766, top5_accuracy = 94.49046184738955, top1_accuracy = 80.32128514056225
epoch = 250, loss = 0.8281464502811432, top5_accuracy = 94.5125, top1_accuracy = 80.3875
epoch = 251, loss = 0.8280380230500879, top5_accuracy = 94.5343625498008, top1_accuracy = 80.39093625498008
epoch = 252, loss = 0.8274580975846638, top5_accuracy = 94.5436507936508, top1_accuracy = 80.39434523809524
epoch = 253, loss = 0.8277479337138149, top5_accuracy = 94.51581027667984, top1_accuracy = 80.38537549407114
epoch = 254, loss = 0.8279022323334311, top5_accuracy = 94.51279527559055, top1_accuracy = 80.40108267716535
epoch = 255, loss = 0.8279904882113139, top5_accuracy = 94.50980392156863, top1_accuracy = 80.41666666666667
epoch = 256, loss = 0.8293645165394992, top5_accuracy = 94.49462890625, top1_accuracy = 80.38330078125
epoch = 257, loss = 0.8294571932651653, top5_accuracy = 94.49173151750973, top1_accuracy = 80.37451361867704
epoch = 258, loss = 0.8291959617027017, top5_accuracy = 94.48885658914729, top1_accuracy = 80.39001937984496
epoch = 259, loss = 0.8289620471276832, top5_accuracy = 94.4980694980695, top1_accuracy = 80.39333976833977
