
Epoch: [1 | 50] LR: 0.001000
epoch = 1, loss = 5.442826271057129, top5_accuracy = 6.25, top1_accuracy = 3.125
epoch = 229, loss = 4.5999626603189, top5_accuracy = 28.957423580786028, top1_accuracy = 12.390829694323145
epoch = 230, loss = 4.597931775839433, top5_accuracy = 28.994565217391305, top1_accuracy = 12.418478260869565
epoch = 231, loss = 4.595031404908085, top5_accuracy = 29.058441558441558, top1_accuracy = 12.472943722943723
epoch = 232, loss = 4.591666770392451, top5_accuracy = 29.189116379310345, top1_accuracy = 12.553879310344827
epoch = 233, loss = 4.588809608901519, top5_accuracy = 29.238197424892704, top1_accuracy = 12.580472103004292
epoch = 234, loss = 4.584515227211846, top5_accuracy = 29.393696581196583, top1_accuracy = 12.686965811965813
epoch = 235, loss = 4.580410413539156, top5_accuracy = 29.574468085106382, top1_accuracy = 12.779255319148936
epoch = 236, loss = 4.577319246227458, top5_accuracy = 29.661016949152543, top1_accuracy = 12.791313559322035
epoch = 237, loss = 4.573195234129701, top5_accuracy = 29.79957805907173, top1_accuracy = 12.895569620253164
epoch = 238, loss = 4.568721730168126, top5_accuracy = 29.95010504201681, top1_accuracy = 12.959558823529411
epoch = 239, loss = 4.566457500018834, top5_accuracy = 30.02092050209205, top1_accuracy = 12.97071129707113
epoch = 240, loss = 4.56372443040212, top5_accuracy = 30.104166666666668, top1_accuracy = 13.0078125
epoch = 241, loss = 4.5599461976917945, top5_accuracy = 30.238589211618258, top1_accuracy = 13.044605809128631
epoch = 242, loss = 4.555809833786705, top5_accuracy = 30.371900826446282, top1_accuracy = 13.106921487603305
epoch = 243, loss = 4.551922729476489, top5_accuracy = 30.504115226337447, top1_accuracy = 13.20730452674897
epoch = 244, loss = 4.548793356926715, top5_accuracy = 30.584016393442624, top1_accuracy = 13.25563524590164
epoch = 245, loss = 4.5464657647269116, top5_accuracy = 30.637755102040817, top1_accuracy = 13.26530612244898
epoch = 246, loss = 4.54299650541166, top5_accuracy = 30.741869918699187, top1_accuracy = 13.300304878048781
epoch = 247, loss = 4.538962700106354, top5_accuracy = 30.89574898785425, top1_accuracy = 13.385627530364372
epoch = 248, loss = 4.536347772805922, top5_accuracy = 30.972782258064516, top1_accuracy = 13.40725806451613
epoch = 249, loss = 4.533435421296391, top5_accuracy = 31.03664658634538, top1_accuracy = 13.403614457831326
epoch = 250, loss = 4.530109672546387, top5_accuracy = 31.15, top1_accuracy = 13.425
epoch = 251, loss = 4.527167401940699, top5_accuracy = 31.237549800796813, top1_accuracy = 13.433764940239044
epoch = 252, loss = 4.523615403780862, top5_accuracy = 31.349206349206348, top1_accuracy = 13.45486111111111
epoch = 253, loss = 4.5207508477297695, top5_accuracy = 31.45998023715415, top1_accuracy = 13.512845849802371
epoch = 254, loss = 4.518480864096814, top5_accuracy = 31.54527559055118, top1_accuracy = 13.508858267716535
epoch = 255, loss = 4.516259021385043, top5_accuracy = 31.61764705882353, top1_accuracy = 13.529411764705882
epoch = 256, loss = 4.514615876600146, top5_accuracy = 31.6650390625, top1_accuracy = 13.5498046875
epoch = 257, loss = 4.51038617753797, top5_accuracy = 31.760700389105057, top1_accuracy = 13.618677042801556
epoch = 258, loss = 4.5073191001433734, top5_accuracy = 31.819282945736433, top1_accuracy = 13.650678294573643
epoch = 259, loss = 4.503407695578792, top5_accuracy = 31.937741312741313, top1_accuracy = 13.718629343629344
epoch = 260, loss = 4.500591901632456, top5_accuracy = 32.00721153846154, top1_accuracy = 13.774038461538462
epoch = 261, loss = 4.4968857947893985, top5_accuracy = 32.1360153256705, top1_accuracy = 13.829022988505747
epoch = 262, loss = 4.493396514244662, top5_accuracy = 32.2638358778626, top1_accuracy = 13.85973282442748
epoch = 263, loss = 4.490819439688563, top5_accuracy = 32.31939163498099, top1_accuracy = 13.913973384030419
